YOB,NKID,DEP,PHON,SINC,DAINC,DHVAL,DMORT,DOUTM,DOUTL,DOUTHP,DOUTCC,BAD,AES0,AES1,AES2,AES3,AES4,AES5,AES6,AES7,AES8,AES9,AES10,RES0,RES1,RES2,RES3,RES4
19.0,4.0,0.0,1,0.0,0.0,14464.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
41.0,2.0,0.0,1,0.0,36000.0,0.0,0.0,280.0,664.0,0.0,80.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
66.0,0.0,0.0,1,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51.0,2.0,0.0,1,0.0,464.0,24928.0,8464.0,584.0,320.0,0.0,60.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
65.0,0.0,0.0,1,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
42.0,2.0,0.0,1,10500.0,48000.0,43392.0,46464.0,1120.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59.0,0.0,0.0,1,6500.0,30000.0,62464.0,56000.0,520.0,0.0,96.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43.0,1.0,0.0,1,13500.0,9000.0,63392.0,54464.0,0.0,200.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52.0,0.0,0.0,1,0.0,22500.0,0.0,0.0,0.0,200.0,0.0,80.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65.0,0.0,0.0,1,0.0,19500.0,26464.0,4464.0,540.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
48.0,2.0,0.0,1,0.0,30000.0,38464.0,23664.0,600.0,0.0,524.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55.0,0.0,0.0,1,8000.0,21000.0,14464.0,64000.0,376.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
44.0,0.0,0.0,1,0.0,24000.0,54464.0,0.0,384.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
53.0,1.0,0.0,1,10000.0,28170.0,8928.0,28000.0,404.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
54.0,2.0,0.0,1,2100.0,48000.0,50464.0,28464.0,600.0,0.0,0.0,88.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
62.0,0.0,0.0,1,0.0,18009.0,0.0,0.0,280.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
46.0,1.0,0.0,1,2500.0,33000.0,3392.0,54000.0,0.0,240.0,480.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19.0,0.0,0.0,1,104.0,24000.0,52928.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
62.0,0.0,0.0,1,8970.0,18474.0,57464.0,28008.0,748.0,0.0,0.0,140.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64.0,0.0,0.0,1,0.0,4170.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
31.0,0.0,0.0,1,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
33.0,0.0,0.0,1,3600.0,9360.0,0.0,0.0,152.0,512.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
38.0,2.0,0.0,1,5000.0,18464.0,13568.0,28928.0,0.0,2000.0,0.0,600.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
31.0,2.0,1.0,1,0.0,33464.0,0.0,0.0,2800.0,0.0,0.0,800.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
55.0,1.0,1.0,1,0.0,27000.0,16928.0,14464.0,580.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
31.0,2.0,0.0,0,0.0,3928.0,0.0,0.0,852.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
33.0,0.0,0.0,1,0.0,33750.0,54464.0,30464.0,940.0,460.0,44.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
29.0,0.0,0.0,1,1000.0,60000.0,3392.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
63.0,0.0,0.0,0,0.0,18300.0,0.0,0.0,500.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
42.0,3.0,0.0,1,1000.0,26637.0,54464.0,4.0,0.0,0.0,276.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
45.0,4.0,0.0,1,10400.0,6600.0,48928.0,54000.0,352.0,124.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
60.0,0.0,0.0,1,8000.0,36000.0,48928.0,20928.0,1608.0,800.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
28.0,0.0,0.0,1,0.0,17100.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
